brand,model,model_target_enc
alfa-romeo,145,72990.0
alfa-romeo,147,28442.674684978938
alfa-romeo,155,
alfa-romeo,156,30628.554069119287
alfa-romeo,159,23999.445369406283
alfa-romeo,164,14500.0
alfa-romeo,166,15321.666666666666
alfa-romeo,4c,22317.962962962964
alfa-romeo,8c,15695.0
alfa-romeo,alfa-6,19591.666666666668
alfa-romeo,alfa-romeo,15388.009523809524
alfa-romeo,brera,27274.73768939394
alfa-romeo,giulia,28066.430890737614
alfa-romeo,giulietta,35976.94775761216
alfa-romeo,gt,23801.54414715719
alfa-romeo,gtv,23190.01798941799
alfa-romeo,mito,23816.32416274202
alfa-romeo,spider,24697.649629170115
alfa-romeo,sportwagon,22378.61111111111
alfa-romeo,stelvio,26493.242533995235
alfa-romeo,tonale,24431.996905871903
aston-martin,aston-martin,22381.25
aston-martin,db11,26703.741827169248
aston-martin,db7,16644.472222222223
aston-martin,db9,26539.215034965036
aston-martin,dbs,26120.633333333335
aston-martin,dbx,28936.198696969695
aston-martin,rapide,29306.704545454544
aston-martin,v8,24776.65374750022
aston-martin,vanquish,23158.82016806723
aston-martin,vantage,25292.565178096756
aston-martin,virage,19541.666666666668
audi,50,
audi,80,45637.666666666664
audi,a1,28227.42194286019
audi,a2,28682.45177427494
audi,a3,27314.231454687077
audi,a4,26550.390887291393
audi,a4-allroad,28313.803454409022
audi,a5,27269.584653384423
audi,a6,26478.252034618956
audi,a6-allroad,30791.622350953054
audi,a7,28449.938163467334
audi,a8,24262.364456577423
audi,allroad,28723.55555555556
audi,cabriolet,21077.47619047619
audi,e-tron,24244.75883924632
audi,e-tron-gt,30767.374023825636
audi,q2,24757.85804067265
audi,q3,27361.642346939017
audi,q4-e-tron,26205.76258893281
audi,q5,26681.939626650223
audi,q7,28507.687899932724
audi,q8,23253.680870452907
audi,q8-e-tron,26236.13708513709
audi,quattro,2800.0
audi,r8,33793.99640666787
audi,rs,
audi,rs3,27299.02694922577
audi,rs4,21250.871599598795
audi,rs5,32849.406301346695
audi,rs6,23723.37849824862
audi,rs7,26652.897299546974
audi,rsq3,26901.06020664071
audi,rsq8,35886.014414414414
audi,s1,30152.964484126984
audi,s3,28987.682730197976
audi,s4,23793.252556208598
audi,s5,27396.801430366424
audi,s6,28877.184045864087
audi,s7,24763.01565743945
audi,s8,23835.37615911773
audi,sq2,29653.20254745255
audi,sq5,30331.668074883466
audi,sq7,34788.41154375969
audi,sq8,28437.762362637364
audi,tt,28755.726661676475
audi,ttrs,19063.55260661399
audi,tts,27117.38997780165
bentley,arnage,34485.339835164836
bentley,azure,29855.16173469388
bentley,bentayga,22812.10936602686
bentley,bentley,19269.718055555557
bentley,brooklands,46890.0
bentley,continental,25369.237148611344
bentley,continental-gt,26080.622176560944
bentley,continental-gtc,21020.263766615724
bentley,flying-spur,26285.32268869628
bentley,mulsanne,24220.687037037034
bentley,turbo-r,
bmw,114,25215.6140775229
bmw,116,27262.394631861807
bmw,118,27180.1667582782
bmw,120,27775.635165811535
bmw,123,27748.19564800279
bmw,125,20895.348153217925
bmw,128,
bmw,130,
bmw,135,26471.77084753562
bmw,140,33484.74573002755
bmw,1m-coupe,28793.791666666668
bmw,216,26987.14997587495
bmw,218,27656.50583468608
bmw,220,26558.091094830328
bmw,223,13243.333333333334
bmw,225,25895.028249042127
bmw,228,29223.661011904762
bmw,230,24600.52653229124
bmw,235,35210.64315143341
bmw,240,21615.904954447262
bmw,316,25236.92066291757
bmw,318,26994.849501426146
bmw,320,27469.76533405345
bmw,323,18371.049242424244
bmw,325,23662.149533669617
bmw,328,25589.92224198843
bmw,330,25733.26152709396
bmw,335,22268.63200232671
bmw,340,25209.2979992445
bmw,418,14645.740740740739
bmw,420,27150.37168249296
bmw,425,27579.629629629628
bmw,428,23873.438005915457
bmw,430,26994.702264166583
bmw,435,26965.917100970724
bmw,440,23428.523909607633
bmw,518,13054.997077922077
bmw,520,27345.03703262308
bmw,523,22538.778358261814
bmw,525,28025.587211666327
bmw,528,24914.822443225825
bmw,530,26491.615814093868
bmw,535,30851.64197756676
bmw,540,27903.115070844804
bmw,545,26070.972222222223
bmw,550,24278.786616899488
bmw,630,30139.514679345422
bmw,635,42842.23472222222
bmw,640,22886.101249722127
bmw,645,38428.91785714286
bmw,650,21874.331794806407
bmw,725,
bmw,728,25444.166666666664
bmw,730,23219.633495760132
bmw,735,26136.25
bmw,740,29168.824323295947
bmw,745,54441.29372077198
bmw,750,23010.346584058643
bmw,760,35489.6
bmw,840,35470.49616161616
bmw,850,16760.0
bmw,active-hybrid-3,
bmw,active-hybrid-7,
bmw,i3,29682.54984513424
bmw,i4,23794.59922697368
bmw,i5,
bmw,i7,46961.96428571428
bmw,i8,26059.715367965367
bmw,ix,27606.428301013406
bmw,ix1,50212.31684981685
bmw,ix3,24724.485389610392
bmw,m1,
bmw,m2,32064.32487301663
bmw,m3,25952.700677046792
bmw,m4,25789.79860423102
bmw,m5,30042.78792341679
bmw,m550,58839.140151515145
bmw,m6,23740.467214158394
bmw,m8,26483.45594139194
bmw,m850,23171.714055181394
bmw,x1,27727.179736881302
bmw,x2,28878.29858283377
bmw,x2-m,24272.962962962964
bmw,x3,26458.94276949866
bmw,x3-m,20664.10388118724
bmw,x4,30109.014612182254
bmw,x4-m,31824.340537737626
bmw,x5,26701.0921026554
bmw,x5-m,27059.74926683604
bmw,x6,30179.63902854202
bmw,x6-m,22399.38862504755
bmw,x7,34309.077700077694
bmw,x7-m,21810.085714285717
bmw,xm,18145.0
bmw,z3,23463.270777000496
bmw,z3-m,23259.531216931216
bmw,z4,24721.307732774254
bmw,z4-m,38696.248281876855
bmw,z8,43323.259259259255
cadillac,ats,46799.25
cadillac,bls,13690.0
cadillac,cadillac,38601.38333333333
cadillac,ct6,16581.25
cadillac,cts,44396.81684981685
cadillac,eldorado,21380.5
cadillac,escalade,30500.41779372674
cadillac,seville,
cadillac,srx,22037.14285714286
cadillac,sts,33445.0
cadillac,xt4,19778.275775978407
cadillac,xt5,9752.576719576718
cadillac,xt6,22838.75
chevrolet,aveo,40595.0
chevrolet,blazer,
chevrolet,bolt,
chevrolet,c1500,
chevrolet,camaro,28432.151255457593
chevrolet,captiva,27260.714285714286
chevrolet,chevy-van,
chevrolet,colorado,9990.0
chevrolet,corvette,32493.75
chevrolet,cruze,20420.0
chevrolet,express,28800.0
chevrolet,kalos,
chevrolet,matiz,19230.666666666668
chevrolet,orlando,38658.666666666664
chevrolet,silverado,20457.75
chevrolet,spark,
chevrolet,suburban,
chevrolet,tahoe,13742.5
chevrolet,trailblazer,
chevrolet,trax,12526.666666666666
chrysler,200,
chrysler,pacifica,22652.946214285716
chrysler,ram-van,
citroen,berlingo,26569.80655448319
citroen,c-crosser,79567.5
citroen,c-elysée,12735.0
citroen,c-zero,11541.380952380952
citroen,c1,27361.591550966474
citroen,c2,33340.969017094016
citroen,c3,27560.65100091173
citroen,c3-aircross,27382.774146964406
citroen,c3-picasso,29680.792267628203
citroen,c35,
citroen,c4,24308.18918947129
citroen,c4-aircross,35951.94285714286
citroen,c4-cactus,28404.37378014246
citroen,c4-grand-picasso,26179.834339004075
citroen,c4-grand-spacetourer,25656.653716283716
citroen,c4-picasso,31250.190844155844
citroen,c4-spacetourer,30706.93677065688
citroen,c5,23629.857532051283
citroen,c5-aircross,27393.635409650236
citroen,c5-x,29234.494134527085
citroen,c6,22410.27777777778
citroen,c8,48815.63095238095
citroen,citroen,24665.971739137
citroen,ds,27918.11904761905
citroen,ds3,28468.123676454412
citroen,ds4,26597.93473389356
citroen,ds5,18206.033333333333
citroen,e-c4-electric,6185.161904761904
citroen,e-c4-x,
citroen,jumper,26029.575958323683
citroen,jumpy,28052.882541602354
citroen,nemo,26087.24305555556
citroen,spacetourer,25712.13874132506
citroen,xantia,
citroen,xsara,33190.0
citroen,xsara-picasso,29657.38095238095
dacia,dacia,21007.09123685168
dacia,dokker,26485.375858102612
dacia,duster,25751.958165627406
dacia,jogger,22466.211052291022
dacia,lodgy,24866.54566360173
dacia,logan,26968.967775788482
dacia,pick-up,62438.458333333336
dacia,sandero,26557.26133683014
dacia,spring,23170.048818277748
daewoo,espero,
daewoo,evanda,34093.333333333336
daewoo,kalos,34309.959401709406
daewoo,lacetti,32559.14285714286
daewoo,lanos,38740.0
daewoo,matiz,28722.25987654321
daewoo,nubira,10444.5
daewoo,rezzo,38471.666666666664
daewoo,tacuma,
daihatsu,applause,
daihatsu,charade,35434.5
daihatsu,copen,53122.623090277775
daihatsu,cuore,16665.49151493931
daihatsu,materia,41520.13333333333
daihatsu,move,13723.0
daihatsu,sirion,25190.862842357226
daihatsu,terios,31613.601554232806
daihatsu,trevis,22195.054945054944
daihatsu,yrv,24389.0
dodge,caliber,15190.0
dodge,challenger,28559.03744336815
dodge,charger,22984.630555063304
dodge,durango,25796.690345736133
dodge,grand-caravan,39335.153846153844
dodge,journey,23627.30238095238
dodge,nitro,23519.083333333332
dodge,ram,26006.596313969174
ferrari,348,
ferrari,360,27151.75505952381
ferrari,430-scuderia,
ferrari,456,42504.07407407407
ferrari,458,22069.0771453373
ferrari,488,25909.92740709799
ferrari,550,1200.0
ferrari,575,30145.86666666666
ferrari,599,19671.73169191919
ferrari,612,38669.648148148146
ferrari,812,
ferrari,california,23733.598970251718
ferrari,f12,24711.302083333336
ferrari,f355,28300.104166666668
ferrari,f430,31435.86724137931
ferrari,f8-tributo,26677.5
ferrari,ferrari,16753.333333333332
ferrari,ff,16721.216666666667
ferrari,gtc4-lusso,48672.76296296297
ferrari,portofino,25528.40329218107
ferrari,roma,30084.003252914066
fiat,124-spider,24197.81297032874
fiat,500,26398.574283249363
fiat,500c,28371.58655451667
fiat,500e,26781.116565165095
fiat,500l,32142.09764585805
fiat,500x,26746.299069791192
fiat,595-abarth,
fiat,bravo,33490.0
fiat,croma,
fiat,doblo,24936.34200310912
fiat,ducato,26849.72058974463
fiat,e-doblo,111890.5
fiat,fiat,27092.706040460627
fiat,fiorino,36938.1958333445
fiat,freemont,42530.99801587302
fiat,fullback,21622.692129629628
fiat,grande-punto,26976.057028858053
fiat,idea,19020.0
fiat,linea,
fiat,multipla,36145.0
fiat,new-panda,17574.972222222223
fiat,panda,27519.68451150038
fiat,punto,23382.49690440326
fiat,punto-evo,26810.201582826114
fiat,qubo,29541.98891941392
fiat,scudo,24835.090139276363
fiat,sedici,7551.75
fiat,stilo,14790.0
fiat,strada,
fiat,talento,31942.008373809706
fiat,tipo,27572.081056381183
fiat,ulysse,8406.166666666668
ford,b-max,26615.54628139844
ford,bronco,31924.175
ford,c-max,29734.935032032514
ford,courier,21933.333333333332
ford,crown,
ford,e-transit,18990.0
ford,ecosport,27214.49617620494
ford,edge,30346.794622528898
ford,escort,34271.291666666664
ford,expedition,4400.0
ford,explorer,31116.95375386997
ford,f150,28030.460719498045
ford,f250,14182.539999999999
ford,f350,
ford,fiesta,26557.016097379572
ford,flex,11849.5
ford,focus,27635.894809460504
ford,focus-c-max,26309.65493710692
ford,focus-cc,19063.758680555555
ford,ford,22783.085253214616
ford,fusion,25338.747091458776
ford,galaxy,30131.483362754996
ford,gran-torino,
ford,grand-c-max,27396.2245717307
ford,ka,24892.753242266986
ford,kuga,26442.65754103133
ford,m,
ford,maverick,23856.875
ford,mondeo,28711.523045812995
ford,mustang,28633.789619497682
ford,mustang-mach-e,26863.039479315972
ford,probe,
ford,puma,24135.505720105655
ford,ranger,25963.145540987687
ford,ranger-raptor,28821.67122857649
ford,s-max,29798.372319666258
ford,streetka,21410.77765376984
ford,taurus,
ford,tourneo,22539.002315503432
ford,tourneo-connect,29047.302822534824
ford,tourneo-courier,27229.33041350523
ford,tourneo-custom,26570.779399446386
ford,tourneo-grand,23156.853688367115
ford,transit,27172.326018057232
ford,transit-bus,8635.0
ford,transit-connect,28292.027995286895
ford,transit-courier,32398.630899125263
ford,transit-custom,29159.724620333607
ford,windstar,
honda,accord,10933.708333333334
honda,civic,25376.155684686615
honda,cr-v,27936.651685238074
honda,e,22078.737454212453
honda,hr-v,29016.722604359853
honda,insight,25313.5
honda,jazz,28755.305401851278
honda,nsx,
honda,odyssey,
honda,stream,
hyundai,accent,25990.0
hyundai,atos,21239.044444444444
hyundai,bayon,34371.364813522465
hyundai,coupe,
hyundai,elantra,11499.333333333334
hyundai,genesis,34795.0
hyundai,genesis-coupe,
hyundai,getz,19472.352708368937
hyundai,grand-santa-fe,23331.800744843393
hyundai,h1,29552.890318369573
hyundai,h350,38031.23777777778
hyundai,hyundai,27986.48182173706
hyundai,i10,28259.99541588014
hyundai,i20,30402.711154526063
hyundai,i30,27622.296275182736
hyundai,i40,26541.104833500856
hyundai,ioniq,28233.428168336122
hyundai,ioniq5,23390.03472481142
hyundai,ioniq6,24184.612299465243
hyundai,ix20,27005.111398980604
hyundai,ix35,25544.973411482937
hyundai,ix55,
hyundai,kona,28170.61382636093
hyundai,kona-electric,23749.261717468053
hyundai,matrix,16670.0
hyundai,nexo,29167.066483516483
hyundai,santa-fe,26514.25978986805
hyundai,sonata,
hyundai,staria,27697.413410256413
hyundai,terracan,42270.0
hyundai,tucson,28895.683775705038
hyundai,veloster,17537.967521367522
infiniti,ex30,12744.5
infiniti,ex35,
infiniti,ex37,
infiniti,fx,57978.242424242424
infiniti,g37,21500.0
infiniti,m30,
infiniti,m35,
infiniti,m37,
infiniti,q30,28625.3634085213
infiniti,q50,18619.73076923077
infiniti,q60,20311.666666666668
infiniti,q70,45944.5
infiniti,qx30,15170.969285714285
infiniti,qx50,
infiniti,qx60,
infiniti,qx70,24464.051587301587
infiniti,qx80,5636.666666666667
isuzu,d-max,24231.00888419061
isuzu,isuzu,20778.95707070707
isuzu,trooper,
jaguar,e-pace,25035.581551883388
jaguar,f-pace,28582.190158234065
jaguar,f-type,26606.206158265268
jaguar,i-pace,26095.409735628484
jaguar,x-type,
jaguar,xe,30347.763338278368
jaguar,xf,25048.358187059013
jaguar,xj,31565.02857142857
jaguar,xk,
jaguar,xkr,27744.5
jeep,avenger,26694.924393939396
jeep,cherokee,30669.661634345855
jeep,commander,
jeep,compass,25978.60931011044
jeep,gladiator,20717.171202318692
jeep,grand-cherokee,29503.17756714002
jeep,jeep,
jeep,patriot,
jeep,renegade,26041.070526401625
jeep,wagoneer,35940.0
jeep,wrangler,24157.85571442171
kia,carens,29715.671232033073
kia,carnival,
kia,ceed,28624.234923893353
kia,ceed-sw,27796.944144942325
kia,cerato,9999.5
kia,e-niro,44812.34464285715
kia,ev6,23807.153214285714
kia,joice,
kia,kia,28032.489571955746
kia,niro,27603.10780825554
kia,opirus,7990.0
kia,optima,28682.949735247206
kia,picanto,25891.5099405358
kia,proceed,27201.82743625889
kia,rio,25164.728948487256
kia,shuma,
kia,sorento,22569.983777282512
kia,soul,33620.14524755649
kia,sportage,28016.96581735643
kia,stinger,29614.057145813054
kia,stonic,29521.04584642695
kia,venga,30133.588911561434
kia,xceed,30398.472887924618
lada,111,4900.0
lada,4x4,38321.333333333336
lada,granta,7754.875
lada,kalina,24754.782738095237
lada,lada,
lada,niva,23487.42772102057
lada,nova,
lada,priora,
lada,taiga,24357.1670995671
lada,urban,24570.47619047619
lada,vesta,33901.305194805194
lamborghini,aventador,29911.8125
lamborghini,gallardo,39095.28977522477
lamborghini,huracan,24567.279239291933
lamborghini,lamborghini,42100.0
lamborghini,murciélago,18956.939393939396
lamborghini,urus,26250.444155844154
lancia,dedra,
lancia,delta,22345.283333333333
lancia,kappa,14455.416666666668
lancia,lybra,
lancia,musa,23486.34065934066
lancia,phedra,41115.0
lancia,thema,20171.833333333332
lancia,thesis,20968.066666666666
lancia,voyager,25235.625757575755
lancia,y,21844.5
lancia,ypsilon,23935.746768707486
lancia,zeta,
land-rover,defender,30481.64804134214
land-rover,discovery,28680.197069349808
land-rover,discovery-sport,25154.190082787307
land-rover,freelander,18188.121212121212
land-rover,land-rover,23900.0
land-rover,range-rover,26983.46381540888
land-rover,range-rover-evoque,28397.665626042402
land-rover,range-rover-sport,26188.232222952724
land-rover,range-rover-velar,27015.513737285044
maserati,3200,25293.423076923078
maserati,4200,29354.6125
maserati,ghibli,30665.28443051485
maserati,grancabrio,36313.95189361011
maserati,gransport,31436.666666666668
maserati,granturismo,26427.941448129688
maserati,grecale,37611.47416196742
maserati,levante,25871.341592972334
maserati,maserati,15801.016666666668
maserati,mc20,28218.225000000002
maserati,quattroporte,23866.723017195243
maserati,spyder,12622.142857142857
mazda,2,26668.11179418408
mazda,3,27178.621797524513
mazda,323,
mazda,5,23781.067258477706
mazda,6,26288.713392051042
mazda,cx-3,26253.430078787067
mazda,cx-30,29350.400344753285
mazda,cx-5,27006.167286778014
mazda,cx-7,44393.195238095235
mazda,cx-9,
mazda,mazda,32237.729754689753
mazda,mx-5,28211.399783655983
mazda,rx-8,
mazda,tribute,
